id|storyText|option1Text|option1NextId|option2Text|option2NextId
67|You strike again, but the spirit swallows the room in darkness. The dagger falls from your hand, and the castle claims another victim.|Play again|1|Quit|-1
68|The signet seal bears Lady Blackthorn's personal crest. It may symbolize her authority or her identity in death.|Take the seal to the crypt|48|Take the seal to the chapel|18
69|The sealed envelope contains a final apology written by Lady Blackthorn's brother before his execution. He forgave her for doubting him.|Take the apology to the crypt|48|Take the apology to the observatory|44
70|When the prisoner sees the bone token, he bows his head and says he truly was the steward. He blesses you and tells you the spirits cannot cross a line of salt.|Use the advice and return upstairs|4|Free the steward and follow him|74
71|When you present the signet seal, Lady Blackthorn touches it with trembling hands. For the first time, her form becomes less monstrous and more human.|Ask her to release the castle|75|Complete the bell ritual|66
72|Light bursts from the ring, the bell, and the crypt platform. If you also hold proof of the truth, the spirit's rage begins to unravel.|Read the apology aloud if you have it|76|Hold the silver cross high|77
73|You flee up the stairs, but the castle doors slam shut and every hallway twists into shadow. There is no escape for the cowardly tonight.|Play again|1|Quit|-1
74|The steward leads you through a hidden passage to a sealed stone door beneath the castle. The brass key fits, and beyond is the family mausoleum.|Enter the mausoleum|78|Refuse and go back|42
75|Lady Blackthorn says the castle can only be freed if her brother's innocence is witnessed and the bell is rung by one who bears her name.|Wear the ring and ring the bell|66|Tell her you cannot help and leave|73
76|As you read the apology aloud, Lady Blackthorn falls to her knees. Her grief breaks, and the darkness in the crypt begins to dissolve into silver mist.|Reach out to her|79|Step back and let the ritual finish|80
77|The silver cross shines, but without the truth to calm her, Lady Blackthorn shrieks and tears through the light. The crypt collapses around you.|Play again|1|Quit|-1
78|In the mausoleum, you find the tomb of Lady Blackthorn's brother. Fresh roses lie there though no living person has entered for years.|Place the apology on the tomb|81|Take the roses and leave|82
79|Your hand passes through cold air, but Lady Blackthorn smiles sadly. She thanks you for ending her hatred and asks that the castle be remembered with mercy.|Accept her thanks|83|Ask for a reward|84
80|The bell falls silent. The ghost rises in a column of pale light and vanishes. Dawn begins to touch the windows above the crypt.|Leave the castle as the curse breaks|85|Search the crypt one last time|86
81|As the apology touches the tomb, the mausoleum glows softly. A hidden compartment opens, revealing a jeweled crest and a deed to the lands surrounding the castle.|Take the jeweled crest and leave|87|Leave everything untouched and return to the crypt|48
82|The roses turn black in your hands, and the air becomes painfully cold. The mausoleum rejects your greed, and the door seals shut forever.|Play again|1|Quit|-1
83|Lady Blackthorn fades, and the castle grows quiet. The haunting is over. Outside, the first sunrise in decades warms the stones of Blackthorn Castle.|Play again|1|Quit|-1
84|At your words, her smile vanishes. The last of her grief becomes anger once more, and the shadows rush back into the chamber.|Play again|1|Quit|-1
85|You walk out through the front gate as ravens circle overhead. Behind you, Blackthorn Castle stands silent but no longer hostile. Villagers later call you the one who ended the curse.|Play again|1|Quit|-1
86|With the curse lifted, you discover a hidden chamber beneath the crypt floor containing old treasure chests and family records.|Take a chest of gold and leave|88|Take only the records and leave|89
87|You claim the jeweled crest and the deed. In time, you restore the ruined castle and become its honored keeper rather than its prisoner.|Play again|1|Quit|-1
88|You leave with gold enough for a lifetime. Though some call you lucky, you know the treasure was earned in the heart of darkness.|Play again|1|Quit|-1
89|The records preserve the true history of the Blackthorn family and clear the names of the dead. Scholars and villagers alike honor your choice.|Play again|1|Quit|-1
